Prefix;DXCC;Continent;Country;ITU;CQ
EZ;280;AS;Turkmenistan;30;17
F;227;EU;France;27;14
FA;227;EU;France;27;14
FB;227;EU;France;27;14
FB8;39;AF;Comoros (fb8);53;39
FC;227;EU;France;27;14
FD;227;EU;France;27;14
FE;227;EU;France;27;14
FF;59;AF;French West Africa;46;35
FG;79;NA;Guadeloupe;11;8
FH;39;AF;Comoros (fb8);53;39
FH;169;AF;Mayotte;53;39
FI;227;EU;France;27;14
FI8;58;AS;French Indo-china;49;26
FJ;516;NA;St. Barthelemy;11;8
FK;162;OC;New Caledonia;56;32
FL;227;EU;France;27;14
FM;84;NA;Martinique;11;8
FN;227;EU;France;27;14
FN8;67;AS;French India;41;22
FO;36;NA;Clipperton Is;10;7
FO;175;OC;French Polynesia;63;32
FO0;508;OC;Austral Islands, Tubuai;63;32
FP;277;NA;St Pierre & Miquelon;9;5
FQ;227;EU;France;27;14
FQ8;57;AF;French Eq. Africa;47;36
FQ8;57;AF;French Eq. Africa;52;36
FR;453;AF;Reunion;53;39
FR/E;124;AF;Juan De Nova, Europa;53;39
FR/G;99;AF;Glorioso Is;53;39
FR/J;124;AF;Juan De Nova, Europa;53;39
FR/T;276;AF;Tromelin Is;53;39
FT;227;EU;France;27;14
FT5W;41;AF;Crozet;68;39
FT5X;131;AF;Kerguelen;68;39
FT5Z;10;AF;Amsterdam & St Paul;68;39
FU;227;EU;France;27;14
FV;227;EU;France;27;14
FW;298;OC;Wallis & Futuna Is;62;32
FX;227;EU;France;27;14
FY;63;SA;French Guiana;12;9
FZ;227;EU;France;27;14
G;223;EU;England;27;14
GA;223;EU;England;27;14
GB;223;EU;England;27;14
GC;294;EU;Wales;27;14
GD;114;EU;Isle of Man;27;14
GE;223;EU;England;27;14
GF;223;EU;England;27;14
GG;223;EU;England;27;14
GH;122;EU;Jersey;27;14
GI;265;EU;Northern Ireland;27;14
GJ;122;EU;Jersey;27;14
GK;223;EU;England;27;14
GL;223;EU;England;27;14
GM;279;EU;Scotland;27;14
GN;265;EU;Northern Ireland;27;14
GO;223;EU;England;27;14
GP;106;EU;Guernsey;27;14
GQ;223;EU;England;27;14
GR;223;EU;England;27;14
GS;279;EU;Scotland;27;14
GT;114;EU;Isle of Man;27;14
GU;106;EU;Guernsey;27;14
GV;223;EU;England;27;14
GW;294;EU;Wales;27;14
GX;223;EU;England;27;14
GY;223;EU;England;27;14
GZ;279;EU;Scotland;27;14
H2;215;AS;Cyprus;39;20
H3;88;NA;Panama;11;7
H4;185;OC;Solomon Islands;51;28
H40;507;OC;Temotu;51;28
H5;462;AF;South Africa;57;38
H6;86;NA;Nicaragua;11;7
H7;86;NA;Nicaragua;11;7
H8;88;NA;Panama;11;7
H9;88;NA;Panama;11;7
HA;239;EU;Hungary;28;15
HB;287;EU;Switzerland;28;14
HB0;251;EU;Liechtenstein;28;14
HC;120;SA;Ecuador;12;10
HC8;71;SA;Galapagos;12;10
HD;120;SA;Ecuador;12;10
HD8;71;SA;Galapagos;12;10
HF;269;EU;Poland;28;15
HF0;241;SA;South Shetland Islands;73;13
HG;239;EU;Hungary;28;15
HH;78;NA;Haiti;11;8
HI;72;NA;Dominican Republic;11;8
HJ;116;SA;Colombia;12;9
HK;116;SA;Colombia;12;9
HK0;19;NA;Bajo Nuevo;11;8
HK0;161;SA;Malpelo Is;12;9
HK0;216;NA;San Andreas & Providencia;11;7
HK0;228;NA;Serrana Bank & Roncador Cay;11;7
HL;137;AS;South Korea;44;25
HM;344;AS;DPR of Korea;44;25
HN;333;AS;Iraq;39;21
HO;88;NA;Panama;11;7
HP;88;NA;Panama;11;7
HQ;80;NA;Honduras;11;7
HR;80;NA;Honduras;11;7
HS;387;AS;Thailand;49;26
HT;86;NA;Nicaragua;11;7
HV;295;EU;Vatican;28;15
HW;227;EU;France;27;14
HX;227;EU;France;27;14
HY;227;EU;France;27;14
HZ;378;AS;Saudi Arabia;39;21
I;248;EU;Italy;28;15
I;248;EU;Italy;28;33
I1;271;EU;Trieste;28;15
I5;115;AF;Italian Somaliland;48;37
IM0;225;EU;Sardinia;28;15
IS0;225;EU;Sardinia;28;15
J2;382;AF;Djibouti;48;37
J3;77;NA;Grenada;11;8
J5;109;AF;Guinea-bissau;46;35
J6;97;NA;St Lucia;11;8
J7;95;NA;Dominica;11;8
J8;98;NA;St Vincent;11;8
JA;339;AS;Japan;45;25
JB;339;AS;Japan;45;25
JC;339;AS;Japan;45;25
JD;339;AS;Japan;45;25
JD1;177;OC;Minami Torishima;90;27
JD1;192;AS;Ogasawara;45;27
JE;339;AS;Japan;45;25
JF;339;AS;Japan;45;25
JG;339;AS;Japan;45;25
JH;339;AS;Japan;45;25
JI;339;AS;Japan;45;25
JJ;339;AS;Japan;45;25
JK;339;AS;Japan;45;25
JL;339;AS;Japan;45;25
JM;339;AS;Japan;45;25
JN;339;AS;Japan;45;25
JO;339;AS;Japan;45;25
JP;339;AS;Japan;45;25
JQ;339;AS;Japan;45;25
JR;339;AS;Japan;45;25
JR6;193;AS;Okinawa;45;25
JS;339;AS;Japan;45;25
JT;363;AS;Mongolia;32;23
JT;363;AS;Mongolia;33;23
JU;363;AS;Mongolia;32;23
JU;363;AS;Mongolia;33;23
JV;363;AS;Mongolia;32;23
JV;363;AS;Mongolia;33;23
JW;259;EU;Svalbard Is;18;40
